# Created by Octave 2.1.69, Wed Oct 25 08:55:40 2006 PDT <bartol@dale>
# name: buffer
# type: matrix
# rows: 25501
# columns: 2
 0.205095237999999 29762.91178
 0.205238094999999 30025.27031
 0.205421769 30206.98211
 0.205598638999998 30289.94152
 0.205891155999999 30389.79362
 0.207408162999999 30389.79362
 0.207591836999999 30206.98211
 0.207809523999999 29943.03579
 0.208020408 29861.0265
 0.208238094999999 29762.91178
 0.208455781999998 29762.91178
 0.208748298999999 29600.10311
 0.209217686999999 29422.04203
 0.209687074999998 29245.05208
 0.21 28989.51103
 0.3 28925.97543
 0.300380951999998 28925.97543
 0.301047618999999 28736.20289
 0.301088434999999 28641.78401
 0.301170067999998 28438.2727
 0.301299319999999 28066.35092
 0.301340135999999 27684.10375
 0.301380951999999 27412.11346
 0.301421768999998 27127.91111
 0.301462584999998 26408.49231
 0.301510203999998 25877.92758
 0.301551019999999 25455.57514
 0.301571428999998 24944.15517
